tweet_id,favorites,retweets,timestamp_x,timestamp_y,source,text,expanded_urls,rating_numerator,rating_denominator,name,ratio,stage,jpg_url,img_num,prediction_1,prediction_1_confident,is_prediction_1_dog,prediction_2,prediction_2_confident,is_prediction_2_dog,prediction_3,prediction_3_confident,is_prediction_3_dog,breed,cofidence
892420643555336193,39467,8853,Tue Aug 01 16:23:56 +0000 2017,2017-08-01 16:23:56 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,1.3,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,orange,0.0970486,0,bagel,0.08585110000000001,0,banana,0.07611,0,none,0.0
892177421306343426,33819,6514,Tue Aug 01 00:17:27 +0000 2017,2017-08-01 00:17:27 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,1.3,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,1,Pekinese,0.0906465,1,papillon,0.0689569,1,Chihuahua,0.323581
891815181378084864,25461,4328,Mon Jul 31 00:18:03 +0000 2017,2017-07-31 00:18:03 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,1.2,,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,1,malamute,0.078253,1,kelpie,0.0313789,1,Chihuahua,0.716012
891689557279858688,42908,8964,Sun Jul 30 15:58:51 +0000 2017,2017-07-30 15:58:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,1.3,,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,paper_towel,0.17027799999999998,0,Labrador_retriever,0.168086,1,spatula,0.0408359,0,Labrador_retriever,0.168086
891327558926688256,41048,9774,Sat Jul 29 16:00:24 +0000 2017,2017-07-29 16:00:24 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,1.2,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,0.555712,1,English_springer,0.22577,1,German_short-haired_pointer,0.175219,1,basset,0.555712
891087950875897856,20562,3261,Sat Jul 29 00:08:17 +0000 2017,2017-07-29 00:08:17 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,1.3,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_retriever,0.425595,1,Irish_terrier,0.116317,1,Indian_elephant,0.07690219999999999,0,Chesapeake_Bay_retriever,0.425595
890971913173991426,12041,2158,Fri Jul 28 16:27:12 +0000 2017,2017-07-28 16:27:12 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,1.3,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.34170300000000003,1,Border_collie,0.199287,1,ice_lolly,0.193548,0,Appenzeller,0.34170300000000003
890729181411237888,56848,16716,Fri Jul 28 00:22:40 +0000 2017,2017-07-28 00:22:40 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,1.3,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,1,Eskimo_dog,0.17840599999999998,1,Pembroke,0.0765069,1,Pomeranian,0.566142
890609185150312448,28226,4429,Thu Jul 27 16:25:51 +0000 2017,2017-07-27 16:25:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,1.3,,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,0.487574,1,Irish_setter,0.193054,1,Chesapeake_Bay_retriever,0.118184,1,Irish_terrier,0.487574
890240255349198849,32467,7711,Wed Jul 26 15:59:51 +0000 2017,2017-07-26 15:59:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,1.4,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,1,Cardigan,0.451038,1,Chihuahua,0.0292482,1,Pembroke,0.511319
